trip_id,start_time,end_time,headway_secs
4-I13-062-2022I13-1-1-4--6-2--,00:00:00,02:00:00,900
4-I13-062-2022I13-1-1-4--6-2--,06:05:00,07:00:00,540
4-I13-062-2022I13-1-1-4--6-2--,07:00:00,10:00:00,480
4-I13-062-2022I13-1-1-4--6-2--,10:00:00,21:00:00,360
4-I13-062-2022I13-1-1-4--6-2--,21:00:00,22:00:00,480
4-I13-062-2022I13-1-1-4--6-2--,22:00:00,24:00:00,450
4-I14-062-2022I14-1-1-4--6-2--,00:00:00,02:00:00,900
4-I14-062-2022I14-1-1-4--6-2--,06:05:00,07:00:00,540
4-I14-062-2022I14-1-1-4--6-2--,07:00:00,07:30:00,300
4-I14-062-2022I14-1-1-4--6-2--,07:30:00,09:30:00,270
4-I14-062-2022I14-1-1-4--6-2--,09:30:00,18:00:00,300
4-I14-062-2022I14-1-1-4--6-2--,18:00:00,20:00:00,270
4-I14-062-2022I14-1-1-4--6-2--,20:00:00,22:00:00,300
4-I14-062-2022I14-1-1-4--6-2--,22:00:00,24:00:00,450
4-I15-062-2022I15-1-1-4--6-2--,00:00:00,02:00:00,900
4-I15-062-2022I15-1-1-4--6-2--,06:05:00,07:00:00,540
4-I15-062-2022I15-1-1-4--6-2--,07:00:00,07:30:00,300
4-I15-062-2022I15-1-1-4--6-2--,07:30:00,09:30:00,270
4-I15-062-2022I15-1-1-4--6-2--,09:30:00,14:00:00,300
4-I15-062-2022I15-1-1-4--6-2--,14:00:00,17:00:00,270
4-I15-062-2022I15-1-1-4--6-2--,17:00:00,22:00:00,300
4-I15-062-2022I15-1-1-4--6-2--,22:00:00,24:00:00,450
4-I12-071-2022I12-1-1-4--7-A--,00:00:00,02:00:00,900
4-I12-071-2022I12-2-1-4--7-A--,00:00:00,02:00:00,900
4-I12-071-2022I12-1-1-4--7-A--,06:05:00,07:00:00,540
4-I12-071-2022I12-2-1-4--7-A--,06:05:00,07:00:00,540
4-I12-071-2022I12-1-1-4--7-A--,07:00:00,10:00:00,480
4-I12-071-2022I12-2-1-4--7-A--,07:00:00,10:00:00,480
